Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(0.25-0.5]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.75-inf)\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(-inf-0.25]\'','\'(0.5-0.75]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
'\'(0.25-0.5]\'','\'(0.25-0.5]\'','\'(-inf-0.25]\'','\'(-inf-0.25]\'',Iris-setosa
