personName,numberOfCompanies
Bernard Arnault & family,0
Elon Musk,8
Jeff Bezos,4
Larry Ellison,2
Warren Buffett,0
Bill Gates,2
Michael Bloomberg,2
Carlos Slim Helu & family,3
Mukesh Ambani,0
Steve Ballmer,1
Francoise Bettencourt Meyers & family,0
Larry Page,1
Amancio Ortega,0
Sergey Brin,1
Zhong Shanshan,0
Mark Zuckerberg,1
Charles Koch & family,4
Julia Koch & family,0
Jim Walton,0
Rob Walton & family,0
Alice Walton,0
David Thomson & family,1
Michael Dell,0
Gautam Adani,0
Phil Knight & family,1
Zhang Yiming,0
Dieter Schwarz,0
François Pinault & family,0
Klaus-Michael Kuehne,1
Giovanni Ferrero,0
Jacqueline Mars,0
John Mars,0
Li Ka-shing,0
Ma Huateng,1
Miriam Adelson & family,0
Ken Griffin,0
Mark Mateschitz,0
Robin Zeng,0
Tadashi Yanai & family,0
Len Blavatnik,0
Alain Wertheimer,1
Gerard Wertheimer,0
Gianluigi Aponte,0
Rafaela Aponte-Diamant,0
Colin Zheng Huang,0
Reinhold Wuerth & family,0
Lee Shau Kee,0
Jeff Yass,0
Jim Simons,3
Stephen Schwarzman,1
Susanne Klatten,0
Gina Rinehart,1
William Ding,0
Germán Larrea Mota Velasco & family,0
Shiv Nadar,0
Low Tuck Kwong,0
Thomas Peterffy,0
Andrey Melnichenko & family,0
Stefan Quandt,0
MacKenzie Scott,0
R. Budi Hartono,0
Vladimir Potanin,0
Jack Ma,0
He Xiangjian & family,0
Iris Fontbona & family,0
Michael Hartono,0
James Ratcliffe,2
Cyrus Poonawalla,0
Masayoshi Son,0
Vladimir Lisin,0
Emmanuel Besnier,0
Abigail Johnson,2
Leonid Mikhelson & family,0
Lukas Walton,0
Wang Wei,0
Jensen Huang,0
Leonard Lauder,0
Takemitsu Takizaki,0
Alexey Mordashov & family,0
Vagit Alekperov,0
"Thomas Frist, Jr. & family",0
Andrew Forrest,0
Ray Dalio,0
Eric Li,1
Wang Wenyin,0
Eyal Ofer,0
Qin Yinglin,1
Wang Chuanfu,1
Harold Hamm & family,0
David Tepper,1
Gennady Timchenko,0
Daniel Gilbert,1
Lakshmi Mittal,1
Steve Cohen,0
Carl Icahn,0
Savitri Jindal & family,0
Donald Bren,0
"John Menard, Jr.",0
Rupert Murdoch & family,0
Vicky Safra & family,0
"Theo Albrecht, Jr. & family",1
Renata Kellnerova & family,0
Li Xiting,0
Stefan Persson,1
Eric Schmidt,3
Michael Platt,0
Pang Kang,0
Karl Albrecht Jr. & family,0
Beate Heister,1
Jorge Paulo Lemann & family,0
Peter Woo,0
Dilip Shanghvi,1
Robert Pera,0
Radhakishan Damani,0
Huang Shilin,1
Dhanin Chearavanont,0
David Green & family,1
Charoen Sirivadhanabhakdi,0
Charlene de Carvalho-Heineken & family,0
Xu Hang,0
Wei Jianjun & family,1
Alisher Usmanov,4
Goh Cheng Liang,0
Kumar Birla,1
Aliko Dangote,1
Kwong Siu-hing,0
Idan Ofer,0
Chen Bang,0
Lui Che Woo,0
John Fredriksen,0
Diane Hendricks,0
Jan Koum,1
Jerry Jones,0
George Kaiser,0
Joseph Lau,0
Lu Xiangyang,0
Harry Triguboff,0
Uday Kotak,0
Stanley Kroenke,1
Mikhail Fridman,0
Sarath Ratanavadi,0
Dang Yanbao,1
Jiang Rensheng & family,0
Shahid Khan,3
Laurene Powell Jobs & family,1
Robert Kuok,0
Stephen Ross,4
Pavel Durov,0
Andreas Struengmann & family,0
Thomas Struengmann & family,0
Liu Hanyuan,0
Michael Rubin,2
