personName
Bernard Arnault & family
Elon Musk
Jeff Bezos
Larry Ellison
Warren Buffett
Bill Gates
Michael Bloomberg
Carlos Slim Helu & family
Mukesh Ambani
Steve Ballmer
Francoise Bettencourt Meyers & family
Larry Page
Amancio Ortega
Sergey Brin
Zhong Shanshan
Mark Zuckerberg
Charles Koch & family
Julia Koch & family
Jim Walton
Rob Walton & family
Alice Walton
David Thomson & family
Michael Dell
Gautam Adani
Phil Knight & family
Zhang Yiming
Dieter Schwarz
François Pinault & family
Klaus-Michael Kuehne
Giovanni Ferrero
Jacqueline Mars
John Mars
Li Ka-shing
Ma Huateng
Miriam Adelson & family
Ken Griffin
Mark Mateschitz
Robin Zeng
Tadashi Yanai & family
Len Blavatnik
Alain Wertheimer
Gerard Wertheimer
Gianluigi Aponte
Rafaela Aponte-Diamant
Colin Zheng Huang
Reinhold Wuerth & family
Lee Shau Kee
Jeff Yass
Jim Simons
Stephen Schwarzman
Susanne Klatten
Gina Rinehart
William Ding
Germán Larrea Mota Velasco & family
Shiv Nadar
Low Tuck Kwong
Thomas Peterffy
Andrey Melnichenko & family
Stefan Quandt
MacKenzie Scott
R. Budi Hartono
Vladimir Potanin
Jack Ma
He Xiangjian & family
Iris Fontbona & family
Michael Hartono
James Ratcliffe
Cyrus Poonawalla
Masayoshi Son
Vladimir Lisin
Emmanuel Besnier
Abigail Johnson
Leonid Mikhelson & family
Lukas Walton
Wang Wei
Jensen Huang
Leonard Lauder
Takemitsu Takizaki
Alexey Mordashov & family
Vagit Alekperov
"Thomas Frist, Jr. & family"
Andrew Forrest
Ray Dalio
Eric Li
Wang Wenyin
Eyal Ofer
Qin Yinglin
Wang Chuanfu
Harold Hamm & family
David Tepper
Gennady Timchenko
Daniel Gilbert
Lakshmi Mittal
Steve Cohen
Carl Icahn
Savitri Jindal & family
Donald Bren
"John Menard, Jr."
Rupert Murdoch & family
Vicky Safra & family
"Theo Albrecht, Jr. & family"
Renata Kellnerova & family
Li Xiting
Stefan Persson
Eric Schmidt
Michael Platt
Pang Kang
Karl Albrecht Jr. & family
Beate Heister
Jorge Paulo Lemann & family
Peter Woo
Dilip Shanghvi
Robert Pera
Radhakishan Damani
Huang Shilin
Dhanin Chearavanont
David Green & family
Charoen Sirivadhanabhakdi
Charlene de Carvalho-Heineken & family
Xu Hang
Wei Jianjun & family
Alisher Usmanov
Goh Cheng Liang
Kumar Birla
Aliko Dangote
Kwong Siu-hing
Idan Ofer
Chen Bang
Lui Che Woo
John Fredriksen
Diane Hendricks
Jan Koum
Jerry Jones
George Kaiser
Joseph Lau
Lu Xiangyang
Harry Triguboff
Uday Kotak
Stanley Kroenke
Mikhail Fridman
Sarath Ratanavadi
Dang Yanbao
Jiang Rensheng & family
Shahid Khan
Laurene Powell Jobs & family
Robert Kuok
Stephen Ross
Pavel Durov
Andreas Struengmann & family
Thomas Struengmann & family
Liu Hanyuan
Michael Rubin
Israel Englander
Viatcheslav Kantor
Anthony Pratt
Mikhail Prokhorov
Giorgio Armani
Johann Rupert & family
Gong Hongjia & family
Zhang Zhidong
Philip Anschutz
Judy Love & family
Ricardo Salinas Pliego & family
Donald Newhouse
Robert Kraft
Marcel Herrmann Telles
Suleiman Kerimov & family
Sky Xu
Changpeng Zhao
Andrew Beal
Mike Cannon-Brookes
Carl Cook
David Duffield
Jeffery Hildebrand
Viktor Rashnikov
Eduardo Saverin
Georg Schaeffler
Christy Walton
Scott Farquhar
Quek Leng Chan
Wu Yajun
Autry Stephens
Liu Yongxing
Vinod Adani
Nicolas Puech
"Jacques Saadé, Jr."
Rodolphe Saadé
Tanya Saadé Zeenny
Melker Schorling & family
Andrei Guriev & family
Michael Kim
Lei Jun
Friedhelm Loh
Sun Piaoyang
Rick Cohen & family
Jin Baofang
Luo Liguo & family
Marijke Mars
Pamela Mars
Valerie Mars
Victoria Mars
Vincent Bolloré & family
Jim Pattison
Ernesto Bertarelli
Wang Xing
Brian Chesky
James Dyson
Roman Abramovich & family
Antonia Ax:son Johnson & family
Daniel Kretinsky
John Malone
Azim Premji
Charles Schwab
Eric Smidt
David Cheriton
Ivan Glasenberg
Alexander Otto
Anthony von Mandl
Wang Liping & family
Finn Rausing
Jorn Rausing
Kirsten Rausing
Tatyana Bakalchuk
John Doerr
Richard Liu
Dustin Moskovitz
Pierre Omidyar
Pei Zhenhua
Carrie Perrodo & family
Chen Jianhua
Michael Otto
Leon Black
Graeme Hart
Ravi Jaipuria
Hasso Plattner & family
Carlos Alberto Sicupira & family
Manuel Villar
Andreas von Bechtolsheim & family
"Chase Coleman, III."
Ann Walton Kroenke
Li Zhenguo & family
Jim Kennedy
Nicky Oppenheimer & family
Blair Parry-Okeden
Zheng Shuliang & family
John Morris
Stefano Pessina
Francine von Finck & family
Francis Choi
German Khan
Abdulsamad Rabiu
George Roberts
Kushal Pal Singh
Wang Jianlin
Yang Huiyan & family
Laurent Dassault
Thierry Dassault
Tilman Fertitta
Marie-Hélène Habert-Dassault
Karel Komarek
Nathan Blecharczyk
Leonid Fedun
Bernard Marcus
Patrick Ryan
Robert F. Smith
Pavel Tykac
Eric Wittouck
Orlando Bravo
Ding Shizhong
Nancy Walton Laurie
Jay Y. Lee
Ramzi Musallam
David Shaw
Andrei Skoch & family
Georg Stumpf
Rocco Commisso
Li Shuirong & family
Lin Shu-hong
Qi Shi & family
Yao Liangsong
Zhang Congyuan
Jean-Michel Besnier
Marie Besnier Beauvalot
David Geffen
Robin Li
Liu Yonghao & family
Henry Samueli
Reinhold Schmieding
Ivar Tollefsen
Cao Renxian
Hasmukh Chudgar & family
Andrew Currie
Joe Gebbia
Philip Ng
John Reece
Leonard Stern
Joseph Tsai
Zhong Huijuan
Arthur Blank
Charles Butt
Ding Shijia
